date,lambda_t,lambda_w,E_Rw,mean_K,whale_threshold
2024-10-05,0.00020307927710518244,1.927575587949106e-06,0.5377028083900115,3.125,2.5703011116099885
2024-10-06,0.00020476247632266522,1.928828541415999e-06,0.5398388099500304,3.125,2.5681651100499696
2024-10-07,0.00020915158719266697,1.928606088377988e-06,0.5425850976700348,3.125,2.565418822329965
2024-10-08,0.00021702242995845318,1.928642540377096e-06,0.5427376692099968,3.125,2.5652662507900033
2024-10-09,0.00022335892267464304,1.92975685063682e-06,0.5431190980600051,3.125,2.564884821939995
2024-10-10,0.000238806432289146,1.9281338248274996e-06,0.5432716695999666,3.125,2.5647322504000334
2024-10-11,0.0002505335013614779,1.9292587132075895e-06,0.5439582415299677,3.125,2.5640456784700323
2024-10-12,0.000251088418942847,1.9275778172802725e-06,0.5451788138500084,3.125,2.5628251061499916
2024-10-13,0.00025007844591639743,1.9282104124904843e-06,0.5470096723300346,3.125,2.5609942476699654
2024-10-14,0.0002491498001835026,1.9283584000641758e-06,0.5499848173600161,3.125,2.558019102639984
2024-10-15,0.0002507438724827373,1.928899975348658e-06,0.5501373888999781,3.125,2.557866531100022
2024-10-16,0.0002516200433376388,1.9295475866955377e-06,0.5525785335399898,3.125,2.5554253864600103
2024-10-17,0.00027367617570626045,1.9278297649204385e-06,2.463383774260083,3.125,5.094565901739917
2024-10-18,0.0002743986580299187,1.9289937404153124e-06,2.4608508234195674,3.125,5.097098852580433
2024-10-19,0.00027420801342948383,1.9290800718698072e-06,2.439320741279788,3.125,5.118628934720212
2024-10-20,0.0002733412164769498,1.927886257795408e-06,2.3924611507394564,3.125,5.165488525260543
2024-10-21,0.00027129771955412585,1.9292557355808392e-06,2.3924611507394564,3.125,5.165488525260543
2024-10-22,0.00027000178695999556,1.9289833216244048e-06,2.375996970279558,3.125,5.181952705720442
2024-10-23,0.00026819880459083025,1.928272133189613e-06,2.3734640194401937,3.125,5.184485656559806
2024-10-24,0.00026437879134873796,1.9289840658200225e-06,2.3595327898196583,3.125,5.1984168861803415
2024-10-25,0.0002615138522961021,1.928541370876634e-06,2.3785299211200734,3.125,5.179419754879927
2024-10-26,0.00025683543826306084,1.928321215120044e-06,2.3582663144005527,3.125,5.1996833615994476
2024-10-27,0.0002437372827147289,1.9278773376476656e-06,2.3683981177603126,3.125,5.189551558239687
2024-10-28,0.00023244380508749188,1.9288337499614235e-06,2.3595327898196583,3.125,5.1984168861803415
2024-10-29,0.0002308432012211368,1.9307121470368588e-06,2.3696645931805715,3.125,5.188285082819428
2024-10-30,0.00022945900974909148,1.9278409145677297e-06,2.3683981177603126,3.125,5.189551558239687
2024-10-31,0.00022904554421352948,1.9279687730753763e-06,2.3316703305797426,3.125,5.226279345420258
2024-11-01,0.00022534656601840204,1.9275614689714646e-06,2.34306860935976,3.125,5.21488106664024
2024-11-02,0.0002087174954468418,1.927670710662795e-06,2.34306860935976,3.125,5.21488106664024
2024-11-03,0.0002027775127492477,1.928490046291475e-06,2.3607992652399172,3.125,5.1971504107600826
2024-11-04,0.00020349541811880956,1.9282632094707035e-06,2.339269183100138,3.125,5.218680492899862
2024-11-05,0.00020771798663803796,1.9284669883092474e-06,2.341802133939503,3.125,5.216147542060497
2024-11-06,0.00020916872980259656,1.928521287017966e-06,2.311406723860222,3.125,5.246542952139778
2024-11-07,0.00020799495222057607,1.9276001108755582e-06,2.319005576379466,3.125,5.238944099620534
2024-11-08,0.00020609380317407685,1.9278892311963323e-06,2.3088737730197058,3.125,5.2490759029802945
2024-11-09,0.00019317425944970126,1.9287072646687833e-06,2.2974754942396864,3.125,5.260474181760314
2024-11-10,0.00018260235884175676,1.928220079326974e-06,2.2734124612605435,3.125,5.284537214739457
2024-11-11,0.00018301896860732246,1.928889557570602e-06,2.3025413959195675,3.125,5.255408280080433
2024-11-12,0.00018643998875308076,1.928484095791662e-06,2.2746789366796496,3.125,5.283270739320351
2024-11-13,0.0001874213437872064,1.929043603329992e-06,2.230352296979835,3.125,5.327597379020165
2024-11-14,0.00018823070598852624,1.9283613749216603e-06,2.211355165680571,3.125,5.346594510319429
2024-11-15,0.00018955273596058924,1.9273653108936614e-06,2.150564345519705,3.125,5.407385330480295
2024-11-16,0.00016822602643119135,1.9284394682135324e-06,0.17332053682000303,3.125,1.231930919179997
